Probe ID 	 HGNC Symbol
ILMN_1651268	BORCS5
ILMN_1652188	EPG5
ILMN_1654629	TMEM175
ILMN_1655884	ATP2A2
ILMN_1659753	LAMP2
ILMN_1659857	SNAP29
ILMN_1662681	AMBRA1
ILMN_1662316	VPS33A
ILMN_1665049	SPG11
ILMN_1673282	LAMP2
ILMN_1674460	ATP2A1
ILMN_1677532	TARDBP
ILMN_1679267	TGM2
ILMN_1678808	ATG14
ILMN_1679782	BLOC1S2
ILMN_1680687	NSF
ILMN_1680353	NSF
ILMN_1684407	CACNA1A
ILMN_1687375	ATP2A2
ILMN_1688831	SYT7
ILMN_1687896	PIK3C3
ILMN_1687277	IRGM
ILMN_1686454	TIFA
ILMN_1690822	VAPA
ILMN_1690524	VAMP7
ILMN_1693136	VTI1B
ILMN_1695998	YKT6
ILMN_1697448	TXNIP
ILMN_1697827	ATP2A3
ILMN_1697952	OSBPL1A
ILMN_1703244	MAP1LC3B
ILMN_1703379	VPS41
ILMN_1705750	TGM2
ILMN_1709549	PLEKHM1
ILMN_1709541	ATP2A1
ILMN_1708881	RAB20
ILMN_1711331	MAP1LC3C
ILMN_1713285	NAPA
ILMN_1711986	MAP1LC3A
ILMN_1713561	LAMP5
ILMN_1714527	VAMP3
ILMN_1717781	VPS11
ILMN_1718687	TPPP
ILMN_1716524	RAB7A
ILMN_1721575	VPS18
ILMN_1727080	MYO6
ILMN_1726873	TPCN2
ILMN_1733616	TFEB
ILMN_1734736	VPS16
ILMN_1734172	ATP2A1
ILMN_1737805	TPCN1
ILMN_1739440	VPS16
ILMN_1744267	PSEN1
ILMN_1744748	BECN2
ILMN_1746856	RAB21
ILMN_1744822	BECN1
ILMN_1744912	CTTN
ILMN_1745697	MGRN1
ILMN_1750896	STX17
ILMN_1750549	PI4K2A
ILMN_1752606	NSF
ILMN_1752351	LAMP2
ILMN_1755504	CALCOCO2
ILMN_1761851	CACNA1A
ILMN_1760530	BLOC1S2
ILMN_1762608	EPG5
ILMN_1761069	UVRAG
ILMN_1763637	RUBCN
ILMN_1771688	RAB7B
ILMN_1770388	VPS39
ILMN_1770052	ATP2A1
ILMN_1772958	MAP1LC3A
ILMN_1773388	RUBCNL
ILMN_1773063	OSBPL1A
ILMN_1777915	STX6
ILMN_1778078	VPS16
ILMN_1776188	MAP1LC3A
ILMN_1779410	VAPA
ILMN_1779572	PLEKHM1
ILMN_1782181	SYT7
ILMN_1791280	HSPB8
ILMN_1789089	DCTN1
ILMN_1790951	KXD1
ILMN_1793563	DCTN1
ILMN_1793514	RPTOR
ILMN_1796669	PSEN1
ILMN_1797566	SNAP47
ILMN_1796458	GABARAPL2
ILMN_1797236	TGM2
ILMN_1796075	VPS41
ILMN_1797816	RPTOR
ILMN_1799969	SNAPIN
ILMN_1798838	CTTN
ILMN_1798546	HDAC6
ILMN_1801605	BIRC6
ILMN_1805255	RAB39A
ILMN_1809193	PSEN1
ILMN_1808548	PSEN1
ILMN_1810486	RAB34
ILMN_1810120	SYT7
ILMN_1809035	SYT7
ILMN_1813148	TOM1
ILMN_1813685	RAB29
ILMN_1811301	INPP5E
ILMN_1812616	MYO1C
ILMN_1815666	ATP2A2
ILMN_1838885	EPG5
ILMN_2046315	GABARAPL2
ILMN_2050109	GABARAP
ILMN_2082314	TOM1
ILMN_2157951	STX6
ILMN_2157510	BLOC1S1
ILMN_2151281	GABARAPL1
ILMN_2151056	BORCS7
ILMN_2170813	LAMP3
ILMN_2170814	LAMP3
ILMN_2190084	VAMP8
ILMN_2196550	RUBCNL
ILMN_2225746	BORCS6
ILMN_2243687	LAMP2
ILMN_2250820	MYO1C
ILMN_2280911	VPS41
ILMN_2279961	LAMP2
ILMN_2310909	ATP2A3
ILMN_2340815	CACNA1A
ILMN_2330845	NSF
ILMN_2329165	MYO1C
ILMN_2380938	SYT7
ILMN_2381899	OPTN
ILMN_2383107	VPS41
ILMN_2393712	CTTN
ILMN_2412807	DCTN1
ILMN_2405190	VAPA
ILMN_2405602	OSBPL1A
ILMN_3180409	SNAP47
ILMN_3243982	SNAP47
ILMN_3265824	TARDBP
